PBIUSI,Genus,species,Country,State_Prov,Sec_Subdiv,Locality,Lat,Lon,Start_Date,End_Date,Collector,Sex,Inst_Code,Project,Type,Det_By,Det_Date,Det_History,Spec_Notes,Loc_Notes,Accuracy,Coll_Method,Pres_Method,Spec_Count,Lat_Lon_Method,Lat_Lon_Accuracy,Elev_m,Elev_f,Elev_Det,Trip_Code,Dissections,Illustrations,Measurements,Photos,SEM,DNA,OrigUSI,Family,Subfamily,Tribe,Macro_Habitat,Micro_Habitat,Host_Family,Host_Genus,Host_species,Host_subspecies,Host_Author,Host_Common_Name,Host_Relation,Host_Location,Host_Emergence_Date,Host_with_Specimen
UCMS_ENT 00026681,Macropis,nuda,USA,Connecticut,Litchfield,"Canaan, Sand Rd, Robbins Swamp edge",41.9812,-73.3535,7/13/2007,,D. L.  Wagner et  al.,Adult sex unknown,UCMS,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,,,Netting,Pinned,1,Google Earth,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00025586,Macropis,ciliata,USA,Connecticut,New London,"Montville, Chesterfield Rd., along ROW",41.43342,-72.15024,6/16/2007,,"N. Bricker, S. Droege",Adult sex unknown,UCMS,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,David L. Wagner Pollinator Study -- Bee Wrkshp,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,powerline ROW,,,,,,,,,,,NO
UCMS_ENT 00025589,Macropis,ciliata,USA,Connecticut,New London,"Montville, Chesterfield Rd., along ROW",41.43342,-72.15024,6/16/2007,,"N. Bricker, S. Droege",Adult sex unknown,UCMS,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,David L. Wagner Pollinator Study -- Bee Wrkshp,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,powerline ROW,,,,,,,,,,,NO
AMNH_BEE 00060112,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060113,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060114,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060115,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060116,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060117,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060118,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060119,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060120,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060121,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060122,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/13/2006,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_IZC 00170518,Macropis,ciliata,USA,West Virginia,Hardy,Malaise Trap #15,,,6/28/2006,10-Aug-06,D. Smith,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2015,,,,,Malaise Trap,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00021022,Macropis,ciliata,USA,Connecticut,New London,"Bozrah, South Rd., Plot 6",41.51968,-72.18048,6/13/2006,,"N. Bricker, J. Watson",Adult sex unknown,UCMS,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2006,,,,,Netting,Pinned,1,GPS,10-100,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00020723,Macropis,ciliata,USA,Connecticut,New London,"Waterford, Vauxhall Rd., Plot 8",41.41428,-72.16155,6/29/2005,,"C. J. Daley, Watson, N. Bricker",Adult sex unknown,UCMS,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2005,,,,,Netting,Pinned,1,GPS,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,powerline ROW,,,,,,,,,,,NO
AMNH_BEE 00031448,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031449,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031450,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031451,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031452,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031453,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031454,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/29/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031442,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031443,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031444,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031445,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031446,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00031447,Macropis,nuda,USA,New York,Albany,"Myosotis Lake, Huyck Preserve, Rensselaerville",42.5227,-74.1485,6/28/2004,,"J. S. Ascher, C. J. Daley",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,,,coords for lakeside at road,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00015172,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2005,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00015173,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2005,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060239,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169263,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169264,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169265,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/20/1999,,"J. G. Rozen, M. G. Rightmyer, Lapsansky",Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
CUIC_ENT 00021764,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/17/1997,,J. S. Ascher,Adult Female,CUIC,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
CUIC_ENT 00021765,Macropis,nuda,USA,New York,Albany,Rensselaerville,42.51611,-74.13833,7/17/1997,,J. S. Ascher,Adult Female,CUIC,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,,,,,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
AMNH_BEE 00169262,Macropis,nuda,USA,New York,Albany,"Huyck Preserve, Rensselaerville",42.5201,-74.1442,7/20/1996,,J. G. Rozen,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,also used Huyck Preserve website,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169290,Macropis,nuda,USA,New York,Albany,"Huyck Preserve, Rensselaerville",42.5201,-74.1442,7/20/1996,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,also used Huyck Preserve website,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169291,Macropis,nuda,USA,New York,Albany,"Huyck Preserve, Rensselaerville",42.5201,-74.1442,7/20/1996,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,also used Huyck Preserve website,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169292,Macropis,nuda,USA,New York,Albany,"Huyck Preserve, Rensselaerville",42.5201,-74.1442,7/20/1996,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,also used Huyck Preserve website,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169293,Macropis,nuda,USA,New York,Albany,"Huyck Preserve, Rensselaerville",42.5201,-74.1442,7/20/1996,,J. G. Rozen,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,also used Huyck Preserve website,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00023996,Macropis,fulvipes,GERMANY,Baden-Wuerttemberg,none,Brackenheim,49.0797,9.065,6/18/1993,,C. Schmid-Egger,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,Schmid-Egger,2006,,,fallingrain.com,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00023997,Macropis,fulvipes,GERMANY,Baden-Wuerttemberg,none,Brackenheim,49.0797,9.065,6/18/1993,,C. Schmid-Egger,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,Schmid-Egger,2006,,,fallingrain.com,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00169462,Macropis,europaea,CZECH REPUBLIC,Moravia,none,Tschechoslowakei (Czechoslovakia),,,7/22/1992,,M. Schwarz,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2011,,,German spelling of Czechoslovakia,,Netting,Pinned,1,,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00016872,Macropis,patellata,USA,New York,Dutchess,Annandale-on-Hudson (Cruger Island),42.0128,-73.9086,7/1/1991,,"J. G. Rozen, N. Pember",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2006,,,,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
AMNH_BEE 00016873,Macropis,patellata,USA,New York,Dutchess,Annandale-on-Hudson (Cruger Island),42.0128,-73.9086,7/1/1991,,"J. G. Rozen, N. Pember",Adult Male,JML,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2006,,,,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
AMNH_BEE 00016874,Macropis,patellata,USA,New York,Dutchess,Annandale-on-Hudson (Cruger Island),42.0128,-73.9086,7/1/1991,,"J. G. Rozen, N. Pember",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2006,,,,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
AMNH_BEE 00016875,Macropis,patellata,USA,New York,Dutchess,Annandale-on-Hudson (Cruger Island),42.0128,-73.9086,7/1/1991,,"J. G. Rozen, N. Pember",Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2006,,,,,Netting,Pinned,1,Gazetteer,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,Primulaceae,Lysimachia,ciliata,,,,associated with,,,NO
